"","p","df_1_2","df_1_3","s","support","confidence","lift","count"
"105","I31",NA,NA,"I22",0.0578142518349331,0.349203472096349,2.09817140935151,69356
"106","I22",NA,NA,"I31",0.0578142518349331,0.347374009556341,2.09817140935151,69356
"107","I31",NA,NA,"I30",0.0581510209355346,0.351237588866735,2.10994944877389,69760
"108","I30",NA,NA,"I31",0.0581510209355346,0.349323985978968,2.10994944877389,69760
"109","I44",NA,NA,"I46",0.0575074918621081,0.347460828309385,2.09540412805357,68988
"110","I46",NA,NA,"I44",0.0575074918621081,0.34680581528624,2.09540412805357,68988
"111","I44",NA,NA,"I27",0.0576275283732135,0.348186090083556,2.09977790602133,69132
"112","I27",NA,NA,"I44",0.0576275283732135,0.347529709838933,2.09977790602133,69132
"113","I44",NA,NA,"I34",0.0577225572778387,0.348760255654775,2.10511358305995,69246
"114","I34",NA,NA,"I44",0.0577225572778387,0.348412806231037,2.10511358305995,69246
"115","I44",NA,NA,"I38",0.0578309235725867,0.349415005867569,2.10794139672995,69376
"116","I38",NA,NA,"I44",0.0578309235725867,0.348880831569048,2.10794139672995,69376
"117","I44",NA,NA,"I25",0.0576150245699734,0.34811054198208,2.10125535259797,69117
"118","I25",NA,NA,"I44",0.0576150245699734,0.347774238833457,2.10125535259797,69117
"119","I44",NA,NA,"I20",0.0578617662872457,0.349601357851211,2.1106364959404,69413
"120","I20",NA,NA,"I44",0.0578617662872457,0.349326891623261,2.1106364959404,69413
"121","I44",NA,NA,"I47",0.0575141605571695,0.347501120630172,2.09696480790737,68996
"122","I47",NA,NA,"I44",0.0575141605571695,0.347064120040845,2.09696480790737,68996
"123","I44",NA,NA,"I26",0.0578375922676481,0.349455298188357,2.10729430242835,69384
"124","I26",NA,NA,"I44",0.0578375922676481,0.34877373238764,2.10729430242835,69384
"125","I44",NA,NA,"I33",0.0575841818553143,0.347924189998439,2.10007766530535,69080
"126","I33",NA,NA,"I44",0.0575841818553143,0.347579322351142,2.10007766530535,69080
"127","I44",NA,NA,"I29",0.0576150245699734,0.34811054198208,2.09835184121213,69117
"128","I29",NA,NA,"I44",0.0576150245699734,0.347293684929855,2.09835184121213,69117
"129","I44",NA,NA,"I24",0.057884273133078,0.349737344433868,2.10874070390641,69440
"130","I24",NA,NA,"I44",0.057884273133078,0.349013123174894,2.10874070390641,69440
"131","I44",NA,NA,"I43",0.0579192837821504,0.349948879118001,2.10591991693282,69482
